datetime	Unnamed: 0	Unnamed: 0.1	city	country	nb_detected
21-03-2020_02-33-56_PM	165.0	0.0	Goteborg	Sweden	1
21-03-2020_02-33-59_PM	166.0	0.0	Goteborg	Sweden	2
21-03-2020_02-34-03_PM	167.0	0.0	Goteborg	Sweden	1
21-03-2020_02-34-07_PM	168.0	0.0	Goteborg	Sweden	0
21-03-2020_02-34-11_PM	169.0	0.0	Goteborg	Sweden	1
21-03-2020_02-34-15_PM	170.0	0.0	Goteborg	Sweden	1
21-03-2020_02-34-19_PM	171.0	0.0	Goteborg	Sweden	0
21-03-2020_02-34-23_PM	172.0	0.0	Goteborg	Sweden	0
21-03-2020_02-34-27_PM	173.0	0.0	Goteborg	Sweden	0
21-03-2020_02-34-31_PM	174.0	0.0	Goteborg	Sweden	0
21-03-2020_02-34-35_PM	175.0	0.0	Overtornea 	Sweden	0
21-03-2020_03-57-05_PM	176.0	0.0	Stockholm	Sweden	18
21-03-2020_04-29-20_PM	177.0	0.0	Stockholm	Sweden	0
21-03-2020_04-29-25_PM	178.0	0.0	Stockholm	Sweden	0
21-03-2020_04-29-28_PM	179.0	0.0	Stockholm	Sweden	0
21-03-2020_04-29-31_PM	180.0	0.0	Goteborg	Sweden	2
21-03-2020_04-29-34_PM	181.0	0.0	Goteborg	Sweden	7
21-03-2020_04-29-37_PM	182.0	0.0	Goteborg	Sweden	1
21-03-2020_04-29-40_PM	183.0	0.0	Goteborg	Sweden	10
21-03-2020_04-29-45_PM	184.0	0.0	Goteborg	Sweden	2
21-03-2020_04-29-48_PM	185.0	0.0	Goteborg	Sweden	10
21-03-2020_04-29-52_PM	186.0	0.0	Goteborg	Sweden	2
21-03-2020_04-29-55_PM	187.0	0.0	Goteborg	Sweden	0
21-03-2020_04-29-57_PM	188.0	0.0	Goteborg	Sweden	0
21-03-2020_04-30-01_PM	189.0	0.0	Goteborg	Sweden	2
21-03-2020_04-30-05_PM	190.0	0.0	Goteborg	Sweden	1
21-03-2020_04-30-08_PM	191.0	0.0	Goteborg	Sweden	3
21-03-2020_04-30-11_PM	192.0	0.0	Goteborg	Sweden	0
21-03-2020_04-30-13_PM	193.0	0.0	Goteborg	Sweden	1
21-03-2020_04-30-17_PM	194.0	0.0	Goteborg	Sweden	0
21-03-2020_04-30-20_PM	195.0	0.0	Goteborg	Sweden	0
21-03-2020_04-30-23_PM	196.0	0.0	Goteborg	Sweden	6
